time,input_variable1,input_variable2,target_variable
2025-02-06 09:33:32+00:00,0.032707,981.279743,33.806626
2025-02-06 09:44:05+00:00,0.029623,980.90025,33.806626
2025-02-06 10:01:06+00:00,0.04886,981.098875,67.613252
2025-02-06 10:11:38+00:00,0.04912,980.966079,67.613252
2025-02-06 10:26:16+00:00,0.072415,980.819118,84.516565
2025-02-06 10:36:49+00:00,0.074022,981.00042,84.516565
2025-02-06 10:51:54+00:00,0.144282,980.920937,169.03313
2025-02-06 11:02:27+00:00,0.145773,980.889351,169.03313
2025-02-06 11:22:46+00:00,0.295737,980.713379,338.066261
2025-02-06 11:33:17+00:00,0.297143,980.666672,338.066261
2025-02-06 11:49:16+00:00,0.754773,980.530165,845.165652
2025-02-06 11:59:48+00:00,0.750242,980.51268,845.165652
2025-02-06 12:15:31+00:00,0.982547,980.474933,1098.715348
2025-02-06 12:33:41+00:00,1.780216,980.598457,2028.397566
2025-02-06 12:34:09+00:00,1.780216,980.598457,2028.397566
2025-02-06 13:06:32+00:00,2.537651,980.496859,2704.530088
2025-02-06 13:17:09+00:00,2.536322,980.470043,2704.530088